Unnamed: 0,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,Latitude,Longitude
333,Les Contamines-​Hauteluce,France,2437,1164,39,40,60,20,120,No,Yes,12,8,4,24,33972,0,45.8115586,6.7232087
334,Les Orres,France,2720,1550,35,30,60,10,100,Yes,No,11,9,0,20,21020,190,44.514098,6.551044
335,Courmayeur / Chécrouit -​ Val Veny,Italy,2755,1205,46,16,21,4,41,Yes,No,4,8,6,18,24497,280,45.79036990000000,6.944613900000000
336,Zermatt - Matterhorn,Switzerland,3899,1562,81,75,220,27,322,Yes,No,21,22,20,63,93464,1060,45.9765738,7.6584519
337,Mayrhofen-Penken/​Ahorn/​Rastkogel/​Eggalm,Austria,2500,630,52,40,66,30,136,Yes,No,31,17,9,57,82432,286,47.1691898,11.8651456
338,Nevis Range,United Kingdom,655,91,36,7,10,3,20,No,No,8,3,1,12,10350,0,56.852154,-4.99906
339,Obertauern,Austria,2313,1630,46,61,35,4,100,Yes,Yes,11,18,2,31,50797,280,47.2517317,13.5471809
340,Levi,Finland,531,206,43,15,19,2,37,Yes,Yes,25,2,2,29,30110,267,67.78441,24.85573
341,Ruka,Finland,492,291,43,9,7,2,18,Yes,Yes,17,5,0,22,22915,70,65.9645876,29.1886652
342,Hedelands Skicenter,Denmark,78,33,17,0,0,0,0,no report,No,0,0,0,0,1600,4,55.627391,12.1744213
343,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Austria,2096,830,53,140,112,18,270,Yes,Yes,21,22,28,71,135104,927,47.3930656,12.6361704
344,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),Austria,2096,830,53,140,112,18,270,Yes,Yes,21,22,28,71,135104,927,47.3930656,12.6361704
345,Saas-Fee,Switzerland,3573,1800,63,20,60,20,100,Yes,No,14,2,9,25,25160,102,46.1091073,7.9297122
346,Sainte-Foy-Tarentaise,France,2620,1550,31,10,25,6,41,No,No,2,4,0,6,7100,10,45.590821,6.883265
347,Val Senales Glacier,Italy,3212,2011,44,8,7,11,27,Yes,No,6,6,2,14,15838,0,46.7572325,10.7826898
348,Serfaus-Fiss-Ladis,Austria,2820,1200,49,47,123,28,198,Yes,Yes,40,16,12,68,78460,1250,47.0559711,10.6192154
349,Serre Chevalier-Briançon/​Chantemerle/​Villeneuve-la-Salle/​Le Monêtier-les-Bains,France,2800,1200,49,138,80,32,250,Yes,Yes,33,21,7,61,72066,575,44.9462128,6.5592945
350,Sestriere ski resort (Via Lattea),Italy,2749,1372,48,96,220,84,400,No,Yes,29,35,7,71,96433,0,44.9560752,6.8815184
351,Silvretta Montafon,Austria,2430,700,53,60,45,8,113,Yes,No,25,18,10,53,67472,330,47.0788439,9.921714
352,Wagrain (Ski amedé),Austria,1980,740,52,30,81,4,115,Yes,No,22,16,11,49,75398,600,47.33350070000000,13.2961383
353,Flachau (Ski amedé),Austria,1980,740,52,30,81,4,115,Yes,No,22,16,11,49,75398,600,47.385092,13.4659043
354,Valchiavenna – Madesimo/​Campodolcino,Italy,1550,1082,39,13,28,5,48,Yes,Yes,1,9,3,13,26060,0,46.4335592,9.3577874
